Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Channel_25,Channel_26,Channel_27,Channel_28,Channel_29,Channel_30,Channel_31,Channel_32,Channel_33,Channel_34,Channel_35,Channel_36,Channel_37,Channel_38,Channel_39,Channel_40,Channel_41,Channel_42,Channel_43,Channel_44,Channel_45,Channel_46,Channel_47,Channel_48,Channel_49,Channel_50,Channel_51,Channel_52,Channel_53,Channel_54,Channel_55,Channel_56,Channel_57,Channel_58,Channel_59,Channel_60,Channel_61,Channel_62,Channel_63
101.822304,101.999863,101.768082,102.129387,102.078941,102.129387,102.138512,101.902290,102.149185,102.166374,101.844559,101.955879,101.866493,101.794724,101.802597,102.180489,102.181534,102.227127,101.783798,102.092850,102.098412,102.173515,102.281311,101.845787,102.129379,102.150993,102.213692,102.111053,101.908096,102.103256,102.213539,102.240257,102.203423,102.153564,102.103935,102.153282,102.182785,102.197990,102.203049,102.207344,102.284348,102.169754,102.157867,102.233315,102.190132,102.212624,102.183594,102.274742,102.262360,102.253860,102.269859,102.164513,102.267357,102.214897,102.217522,102.233368,102.296196,102.297104,102.276230,102.261398,102.265648,102.155540,102.281448,102.182693
101.821167,101.999062,101.768410,102.129387,102.077957,102.129723,102.137169,101.901955,102.148743,102.165703,101.844231,101.955879,101.867996,101.794388,101.803818,102.180809,102.181534,102.226791,101.784462,102.092850,102.099533,102.173851,102.280983,101.845306,102.128708,102.150658,102.213013,102.111717,101.908096,102.104446,102.212547,102.239426,102.203423,102.153229,102.104630,102.153610,102.182785,102.197159,102.203728,102.206673,102.285172,102.169418,102.157532,102.232971,102.189468,102.212952,102.183594,102.273949,102.262016,102.253860,102.269524,102.164513,102.267029,102.214081,102.216354,102.233566,102.296532,102.296768,102.275558,102.262070,102.264961,102.156410,102.281784,102.182693
101.822304,101.997940,101.769417,102.129723,102.077621,102.129723,102.136833,101.901955,102.149185,102.166039,101.843910,101.955551,101.867996,101.795395,101.803818,102.180809,102.181198,102.226791,101.784798,102.093170,102.098877,102.173515,102.279861,101.844620,102.129044,102.150330,102.213364,102.112053,101.907890,102.103928,102.211876,102.238754,102.203087,102.153564,102.103935,102.152946,102.183121,102.197990,102.203728,102.207008,102.284836,102.169754,102.157204,102.232971,102.189796,102.212288,102.183594,102.273949,102.262360,102.254204,102.269203,102.164864,102.267685,102.214569,102.217850,102.233231,102.296196,102.297600,102.275223,102.262398,102.266068,102.155197,102.281113,102.182365
101.822304,101.999397,101.769913,102.129387,102.077621,102.129387,102.137505,101.901619,102.148514,102.167046,101.843575,101.955551,101.866821,101.795395,101.802925,102.180489,102.181534,102.227463,101.785126,102.093834,102.099533,102.173515,102.279861,101.845306,102.129379,102.149826,102.211838,102.112381,101.907890,102.104263,102.211876,102.240257,102.203423,102.154739,102.104279,102.152946,102.183121,102.196823,102.204063,102.207344,102.285507,102.170753,102.158066,102.232971,102.189468,102.213142,102.183594,102.274300,102.262360,102.254204,102.268860,102.164047,102.268028,102.215240,102.217194,102.234695,102.296196,102.297104,102.276367,102.262733,102.266068,102.156410,102.281784,102.183029
101.821968,101.999397,101.769577,102.128242,102.078629,102.128571,102.137840,101.901955,102.149185,102.167046,101.842911,101.955551,101.866150,101.796204,101.802925,102.180489,102.181534,102.227127,101.785622,102.093498,102.099213,102.173515,102.280197,101.845306,102.130043,102.150162,102.212669,102.111717,101.909073,102.104263,102.211220,102.239754,102.203758,102.153885,102.104630,102.152946,102.182968,102.196487,102.204063,102.208008,102.285835,102.171761,102.158066,102.232811,102.189468,102.212143,102.183258,102.274300,102.262360,102.253532,102.269203,102.164864,102.268356,102.215576,102.217194,102.234024,102.296196,102.297432,102.276230,102.263405,102.266068,102.156746,102.282120,102.183365
101.820824,101.999397,101.769913,102.129051,102.079269,102.128571,102.137840,101.902290,102.149185,102.167046,101.842560,101.955200,101.866333,101.796204,101.802261,102.180153,102.181198,102.227921,101.784798,102.093498,102.098877,102.173409,102.279861,101.845650,102.130356,102.150162,102.212189,102.111717,101.910042,102.105774,102.211876,102.240257,102.203758,102.153564,102.104279,102.152603,102.183311,102.197342,102.204063,102.208679,102.285835,102.172432,102.158401,102.234337,102.189796,102.212479,102.183594,102.274635,102.262695,102.253532,102.269859,102.163361,102.266548,102.215912,102.216194,102.233368,102.296196,102.297760,102.276566,102.263405,102.266403,102.156075,102.283127,102.183701
101.821304,101.999863,101.769577,102.128708,102.080276,102.129242,102.137505,101.901955,102.149185,102.167046,101.841911,101.954865,101.865158,101.796204,101.802261,102.180489,102.180527,102.227463,101.785622,102.093498,102.099213,102.173752,102.279526,101.845306,102.130692,102.150810,102.212189,102.111382,101.910355,102.105438,102.210884,102.240585,102.203758,102.153229,102.104744,102.152283,102.182785,102.197990,102.204567,102.208679,102.285507,102.172768,102.158066,102.233986,102.189316,102.212479,102.183929,102.273483,102.263031,102.254524,102.270676,102.162666,102.267357,102.215912,102.216522,102.234024,102.295197,102.298096,102.277374,102.263077,102.266747,102.157082,102.281303,102.184685
101.820969,101.999535,101.769577,102.128044,102.078781,102.129578,102.137840,101.902290,102.149185,102.166710,101.841911,101.955200,101.866013,101.796204,101.801750,102.180809,102.180527,102.227798,101.785622,102.093498,102.099213,102.174881,102.279205,101.844971,102.131165,102.150810,102.212334,102.111382,101.910355,102.105774,102.211220,102.240257,102.204102,102.153229,102.104401,102.151596,102.182785,102.197159,102.203880,102.208679,102.286179,102.172768,102.157394,102.233658,102.188980,102.211945,102.183929,102.273483,102.263367,102.255196,102.271011,102.163834,102.266373,102.217064,102.216522,102.234367,102.295197,102.299088,102.278053,102.263077,102.266403,102.156746,102.281448,102.184357
101.821640,101.998856,101.769913,102.128044,102.078941,102.129066,102.137840,101.902290,102.148407,102.166710,101.842239,101.956039,101.865677,101.796204,101.802422,102.180809,102.181198,102.227463,101.785622,102.093834,102.099533,102.174881,102.279526,101.845108,102.131165,102.150810,102.211319,102.111053,101.910683,102.105774,102.211380,102.239426,102.204437,102.153564,102.104401,102.151108,102.183121,102.197662,102.203049,102.209007,102.286507,102.172104,102.157730,102.233315,102.189316,102.213478,102.183929,102.274635,102.263367,102.256691,102.272018,102.163483,102.266037,102.216721,102.216850,102.233566,102.295525,102.300247,102.277046,102.263077,102.266403,102.156075,102.281448,102.184036
101.820824,101.998856,101.771072,102.128044,102.078629,102.128395,102.137840,101.901779,102.149406,102.167374,101.842560,101.955551,101.864174,101.796204,101.802597,102.180489,102.181534,102.226791,101.785622,102.094498,102.099533,102.174530,102.278542,101.845444,102.131165,102.151146,102.210632,102.110718,101.911514,102.105774,102.212051,102.240585,102.204437,102.152878,102.103714,102.151108,102.183456,102.197342,102.203049,102.209351,102.286507,102.171432,102.157898,102.233986,102.190132,102.212624,102.185379,102.273819,102.263367,102.256691,102.273026,102.163139,102.266037,102.217888,102.216522,102.233566,102.296196,102.299088,102.276230,102.262733,102.266907,102.156075,102.280777,102.183701
