Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Channel_25,Channel_26,Channel_27,Channel_28,Channel_29,Channel_30,Channel_31,Channel_32,Channel_33,Channel_34,Channel_35,Channel_36,Channel_37,Channel_38,Channel_39,Channel_40,Channel_41,Channel_42,Channel_43,Channel_44,Channel_45,Channel_46,Channel_47,Channel_48,Channel_49,Channel_50,Channel_51,Channel_52,Channel_53,Channel_54,Channel_55,Channel_56,Channel_57,Channel_58,Channel_59,Channel_60,Channel_61,Channel_62,Channel_63
101.967758,102.169945,101.910995,102.271225,102.223099,102.252296,102.234085,101.957809,102.313484,102.308701,101.985374,102.107719,102.027840,101.938080,101.906006,102.264374,102.359673,102.396606,101.939262,102.245392,102.230583,102.292160,102.378769,101.933060,102.291542,102.322800,102.379456,102.297249,102.057693,102.262810,102.401512,102.321350,102.320389,102.365257,102.349228,102.301125,102.332756,102.311081,102.386269,102.284813,102.452354,102.362694,102.306778,102.381058,102.342461,102.338600,102.285690,102.378830,102.523094,102.411598,102.363953,102.250648,102.294312,102.316910,102.341377,102.343460,102.421402,102.425186,102.388863,102.326897,102.337830,102.330414,102.406235,102.312027
101.968422,102.169289,101.910149,102.270546,102.223099,102.251289,102.234421,101.958145,102.312813,102.309868,101.985710,102.107719,102.027649,101.937424,101.906342,102.264046,102.360008,102.397606,101.939262,102.245392,102.229797,102.292160,102.379585,101.933060,102.292206,102.324341,102.380127,102.296257,102.056503,102.262482,102.402176,102.321350,102.321213,102.365929,102.349228,102.301125,102.332283,102.309906,102.386269,102.285812,102.451698,102.362358,102.306778,102.381058,102.342461,102.337936,102.285355,102.379616,102.522766,102.411598,102.363785,102.249954,102.294983,102.317368,102.341049,102.343124,102.421730,102.425842,102.388527,102.327560,102.339310,102.330750,102.405907,102.311691
101.968422,102.170425,101.910149,102.270882,102.223099,102.251289,102.234085,101.958145,102.313484,102.309372,101.985054,102.108055,102.027649,101.936417,101.905807,102.264702,102.360008,102.397934,101.939590,102.245064,102.230141,102.292625,102.379242,101.932388,102.292206,102.324341,102.380470,102.296921,102.056168,102.262482,102.401001,102.320847,102.321213,102.365929,102.348770,102.300781,102.332283,102.310242,102.386269,102.285812,102.450699,102.362358,102.306442,102.381058,102.342796,102.337593,102.285355,102.379959,102.523575,102.411926,102.363785,102.249619,102.295303,102.317551,102.340714,102.343582,102.421730,102.426170,102.389336,102.327225,102.338852,102.329742,102.406235,102.311363
101.968422,102.169754,101.909805,102.271561,102.223099,102.252296,102.234085,101.959290,102.313820,102.310539,101.986046,102.108566,102.027649,101.936600,101.906006,102.264702,102.360344,102.398270,101.939262,102.245392,102.230141,102.292625,102.378914,101.931694,102.291870,102.322151,102.380814,102.297249,102.056503,102.262688,102.402176,102.320847,102.321548,102.366264,102.348419,102.300117,102.332756,102.309906,102.385941,102.284813,102.450699,102.362358,102.307640,102.381912,102.343124,102.336746,102.284683,102.379959,102.523575,102.412254,102.364616,102.249619,102.294510,102.316696,102.339874,102.342125,102.421730,102.426834,102.389336,102.327896,102.339188,102.328735,102.406235,102.311363
101.968086,102.170097,101.911324,102.271225,102.223289,102.251953,102.233749,101.959290,102.313820,102.310867,101.985374,102.108231,102.027649,101.935745,101.904999,102.264046,102.360344,102.398758,101.939720,102.246056,102.231255,102.293304,102.379242,101.931007,102.290878,102.322693,102.380470,102.296921,102.058006,102.262032,102.401833,102.320175,102.321068,102.365585,102.349228,102.299782,102.333099,102.309906,102.386429,102.285957,102.450699,102.361694,102.307121,102.381912,102.343124,102.337936,102.284828,102.379959,102.523903,102.412254,102.364449,102.249619,102.294838,102.315552,102.341049,102.341469,102.422409,102.426514,102.388527,102.326706,102.339523,102.328400,102.406235,102.311691
101.968758,102.170547,101.911659,102.271561,102.223618,102.251625,102.233749,101.958954,102.314163,102.311874,101.985374,102.107895,102.027328,101.936081,101.904999,102.263710,102.360672,102.397263,101.939262,102.246056,102.231255,102.293304,102.379242,101.930672,102.291214,102.323029,102.379280,102.296585,102.058006,102.262360,102.402176,102.321014,102.321404,102.365929,102.349564,102.300453,102.333435,102.310242,102.386765,102.285629,102.450035,102.361694,102.307785,102.381058,102.343124,102.337936,102.284012,102.379959,102.523575,102.411926,102.364449,102.249954,102.295303,102.315552,102.340714,102.340805,102.422745,102.426170,102.389336,102.327042,102.339874,102.328072,102.406235,102.312027
101.968758,102.169884,101.912331,102.271896,102.222763,102.250946,102.234901,101.958954,102.314163,102.312210,101.985916,102.108566,102.026993,101.936081,101.904999,102.263710,102.360489,102.397423,101.940048,102.245720,102.230919,102.293182,102.379242,101.931351,102.291214,102.322693,102.380127,102.296921,102.056389,102.262688,102.402832,102.320679,102.321068,102.365257,102.349915,102.300117,102.334122,102.311417,102.387093,102.285156,102.450035,102.361694,102.308311,102.381752,102.343124,102.338943,102.284828,102.380753,102.523232,102.411598,102.364449,102.250305,102.294983,102.315552,102.341049,102.341934,102.422409,102.426170,102.390007,102.327042,102.339188,102.328400,102.407043,102.312691
101.969086,102.169090,101.912666,102.271561,102.222954,102.250946,102.234901,101.958626,102.315292,102.311874,101.986244,102.108566,102.026657,101.935745,101.904663,102.263382,102.360161,102.397095,101.940720,102.245720,102.231255,102.293526,102.379585,101.931007,102.291344,102.322693,102.378769,102.298416,102.056389,102.262688,102.403503,102.320351,102.319893,102.366089,102.349915,102.300117,102.333771,102.311081,102.386765,102.285957,102.450363,102.361694,102.308983,102.382423,102.342796,102.339951,102.284683,102.381088,102.523232,102.412254,102.364952,102.250992,102.294312,102.315903,102.340714,102.341934,102.421730,102.426636,102.390007,102.327042,102.339188,102.328735,102.407387,102.312691
101.969086,102.169884,101.912666,102.272369,102.222954,102.250946,102.234749,101.958954,102.314621,102.311546,101.985916,102.108902,102.026993,101.935425,101.904663,102.264046,102.359825,102.396767,101.941055,102.245392,102.230583,102.293526,102.379906,101.932030,102.291016,102.321709,102.378090,102.299095,102.056717,102.263016,102.403175,102.321014,102.321068,102.364922,102.349564,102.300781,102.333435,102.311081,102.387428,102.285629,102.449692,102.361694,102.308647,102.383621,102.343124,102.340622,102.285500,102.380753,102.522079,102.412254,102.365280,102.251450,102.294983,102.314896,102.341049,102.340805,102.420731,102.425186,102.389336,102.327377,102.338852,102.328400,102.406715,102.312363
101.969757,102.169548,101.912331,102.272034,102.222618,102.252296,102.235573,101.958626,102.314285,102.312210,101.987251,102.109573,102.026657,101.935425,101.904327,102.264046,102.359161,102.397766,101.940048,102.245392,102.229919,102.293861,102.381035,101.932030,102.291016,102.322044,102.378433,102.299759,102.057365,102.263344,102.403175,102.321350,102.321068,102.366089,102.349228,102.300781,102.333099,102.311081,102.387093,102.285957,102.450363,102.361694,102.307449,102.383621,102.343124,102.340622,102.285164,102.380081,102.522888,102.411926,102.364113,102.251785,102.294983,102.314896,102.340714,102.341133,102.421059,102.425186,102.390488,102.327377,102.339188,102.328072,102.407043,102.312363
